"","Gene","logfc","CERES"
"141","CHPF",2.38682811066597,0
"142","ITGA9",-2.8260754013553,-0.14430394819
"143","CPPED1",4.39817484946218,0.0808304831876
"144","SLC18A2",-2.99428146966553,0
"145","MEX3B",-1.68289556217388,0
"146","TM4SF1",3.29422141834154,0
"147","ALPL",-2.75242721668537,0
"148","LSAMP",-2.89808537295867,0
"149","PCDH18",-2.72735332830666,0
"150","LGI2",-2.59060984986728,0
"151","COL23A1",-3.1757625347946,-0.0973198514482
"152","ACTN3",-3.02991277857765,0
"153","KCNIP1",-3.35334773497127,0
"154","GPRC5A",4.8181655232756,-0.0610400545994
"155","SLCO3A1",4.150286084285,0
"156","PAMR1",-2.96213350976791,-0.0488923204434
"157","CUX2",-3.51644460954447,0.0109942438289
"158","DDX60L",-1.36247650712664,-0.248807996008
"159","ISG20",3.57130147921271,-0.275963058052
"160","WDR86",-2.11317398083744,-0.371665402893
"161","OSR2",-1.47783353252196,0
"162","UPP1",2.35317712183104,0
"163","TRPS1",-1.68723501694288,-0.0230525557869
"164","EPHA7",-2.93030036998677,0.199754642951859
"165","DKKL1",-2.33788278089172,0
"166","ZNF474",-2.59297749710386,0
"167","PLK2",2.09691220390583,-0.500580184605
"168","SQOR",2.74433478730162,-0.0620854588686
"169","NECTIN3",4.27484228260663,0.00239510224555
"170","SYNE1",4.16964738083972,0
"171","GBP3",3.9475249551763,0
"172","TSPAN15",2.60261613052231,0
"173","FXYD1",-2.15716703394934,0
"174","TRIM64",-2.42102119679423,0
"175","DCHS1",-2.50535187482636,0
"176","C19orf33",5.40591763060783,0
"177","CNTFR",-2.96593106993182,0
"178","COLEC12",-3.03277882577255,-0.145467673938
"179","SCX",-1.75819539314014,0.0598715496751
"180","GLT8D2",-2.13770192538472,0
"181","DPYD",4.01201430126565,0.465784024781
"182","RBPMS",2.77611648720092,-0.118396024318
"183","EVX1",-3.16819101193555,0.0398014557033
"184","RBM47",4.52410656053039,-0.195620234183
"185","MORC4",2.91235545900484,0
"186","PTPRM",4.3730315339504,0
"187","PLAUR",2.23994381526247,-0.357785287975
"188","SCUBE1",-2.96123591551004,0
"189","IFI16",3.80122347400472,0
"190","SFRP5",-3.04705924663524,-0.216601879481
"191","VASH2",-1.75890736672271,0
"192","SLC17A7",-2.36549338983439,0
"193","CXCL12",-3.02664165491189,-0.0768160048227
"194","FAM43B",-2.72680469792665,0
"195","LRRC4B",-2.53971012148643,0
"196","MYO5B",4.18920367602476,0
"197","AP1M2",4.85977498916011,0
"198","PCOLCE",-1.1619992957884,0.0746058035573
"199","AXIN2",-2.01568567908698,0
"200","COL6A3",-2.39791297506362,-0.414617052012
"201","ARHGEF5",4.48837305186818,-0.0650338671173
"202","CCN4",-3.21985981203844,0
"203","PIWIL1",-3.30544846612936,0
"204","EFNA2",-2.13399026690675,-0.254873665662
"205","CD109",4.12672261458516,-0.325266564027
"206","LAMB3",4.01540114497823,0
"207","LRRC61",4.38917976577584,0
"208","VSTM4",-2.78827939086635,-0.144481736805
"209","VPS13A",2.89775046656431,0
"210","IRX5",-1.60717514465451,-0.415407705181
"211","MBP",3.62166753189412,-0.0831868375314
"212","IRX6",-2.86994938353941,-0.0856729644892
"213","ADGRG6",3.58348423023201,0
"214","ICA1",4.24625547387254,0
"215","ELFN1",-2.42790951961797,0
"216","ZBED6CL",4.36844467952933,0
"217","CASKIN1",-1.97005411865961,0
"218","GPRASP1",-1.89899646524766,0
